Год;Месяц;День;Алтайский край;Забайкальский край;Иркутская область;Кемеровская область;Красноярский край;Новосибирская область;Омская область;Республика Бурятия;Республика Тыва;Республика Хакасия;Томская область
;;25;30905;22248;147221;88924;124415;46260;30911;15217;2526;45715;22455
;;26;30405;21961;145606;88407;124275;44661;30811;14746;2480;45848;22130
;;27;32433;21252;146522;88434;124006;47563;31906;15408;2449;46268;22589
;;28;31851;22101;145215;88470;124575;47556;32270;15624;2416;46302;22744
;;29;30972;21304;144181;86438;123492;46557;31970;15965;2374;45404;22690
;;30;30930;22809;142630;85146;122721;47758;32445;16065;2342;45739;22663
;;31;31279;21081;142954;85096;122343;48070;32095;15854;2319;45744;23122
;4;1;29719;21795;140171;86277;121774;45542;30727;14813;2236;45180;22454
;;2;29609;21298;142040;87844;122556;45317;30163;14511;2229;45636;22108
;;3;30903;20705;145143;86841;123807;47461;32285;15242;2383;45810;22788
;;4;31385;22525;146997;86483;124958;48472;31838;14704;2367;46173;23047
;;5;31423;21789;147434;87454;124730;48492;31805;15463;2328;46187;23241
;;6;32410;22363;146786;88781;126202;48218;31264;15329;2341;46846;23001
;;7;31562;22112;145890;87556;125312;47039;30517;15311;2272;46283;22954
;;8;29830;22702;143834;87245;124471;44399;30088;14748;2133;46055;22188
;;9;28417;22405;145122;87108;123809;43097;29068;14311;2206;46173;21629
;;10;29571;21891;148582;87038;125170;44371;29799;15331;2153;45342;22210
;;11;29576;22880;147207;85301;123096;43716;29456;15209;2089;45706;21963
;;12;29587;21624;142880;84715;122321;42997;29150;15274;2045;45505;21589
;;13;29881;22485;141643;84742;123346;42923;29235;15091;2054;45359;21418
;;14;29518;21242;140522;85265;122300;43069;28966;14849;2032;45188;21829
;;15;28179;22099;139957;86637;122841;41784;28524;14357;2060;45469;21567
;;16;26438;21107;139818;84467;119850;40774;27726;13899;2010;44835;21096
;;17;28524;20841;140466;85340;121174;44306;29218;14280;1978;45194;21640
;;18;29242;21522;140268;86308;122050;45107;28503;14591;2085;45547;21720
;;19;28536;20954;141995;85370;121659;43586;28021;14490;2072;45490;22266
;;20;28241;20282;141656;84186;122666;42615;28208;14133;2076;46042;21858
;;21;27683;20656;142746;84531;122452;42111;27886;14647;2053;45530;21671
;;22;26425;20688;141432;84507;121115;39645;27776;14153;1999;45089;21115
;;23;26599;21147;139170;84387;119625;39885;27231;14387;2000;45265;21197
;;24;28408;21739;139895;84462;120393;42477;28564;14383;1928;45210;21151
;;25;27345;21377;137148;82447;118749;41016;27620;13937;1897;44911;20821
;;26;27244;19969;135325;82162;117726;39583;27236;13663;1814;44292;20177
;;27;26563;19500;133722;82658;116591;39288;27562;13608;1758;44122;20485
;;28;25921;19782;129658;82215;116552;40064;26764;13348;1712;44184;21146
;;29;25122;19196;132632;82356;117083;37455;26012;13793;1709;43692;20780
;;30;25301;19488;132445;83068;117877;38557;26381;14014;1799;44425;20518
;5;1;26287;19967;136380;83954;119619;39501;25967;13526;1852;44456;20488
;;2;29550;20583;139564;86631;121239;43431;27501;14333;2022;45225;21737
;;3;29658;19708;141832;85930;121879;42778;27952;14494;2071;45689;21371
;;4;28663;19382;140826;85891;122635;42095;26985;14298;2174;45767;21189
;;5;26428;19634;140631;83625;120944;39395;26359;14105;2074;44898;20909
;;6;25221;19380;135624;81939;117441;37702;26777;13957;1853;43965;20362
;;7;24721;19470;130740;82468;116288;38219;25967;13167;1789;44075;20251
;;8;24579;19515;131853;80766;116440;37020;26075;13582;1766;44027;20271
;;9;23787;19952;131072;80122;116866;37164;24950;12604;1777;44157;20231
;;10;26102;19926;137804;81842;118778;39363;25890;13924;1885;43806;20406
;;11;26046;20059;136205;81520;118541;38836;25181;13275;1797;44314;20087
;;12;25339;19918;135166;80759;118062;36825;25017;13360;1787;44474;19688
;;13;24185;18961;131179;80449;116536;34393;23839;12895;1647;43679;19171
;;14;24331;18312;128214;80538;116659;34479;23662;12417;1592;43513;18848
;;15;26437;19091;127467;80245;116429;37474;25505;12798;1511;43457;19474
;;16;26233;18890;126112;79186;114658;37075;26870;12120;1504;43998;19464
;;17;27603;18243;128711;82270;116051;40588;26837;11690;1383;44346;20379
;;18;27366;18638;131030;81820;116717;39960;26574;12159;1476;44876;20251
;;19;27277;18618;134369;81662;116197;38363;26078;12558;1668;44409;20289
;;20;25485;18495;132997;81291;114968;35695;25035;12540;1603;44395;19906
;;21;24421;18955;130786;79232;114753;34928;24264;12728;1620;43566;19455
;;22;25665;19822;131856;79357;113949;35887;25525;13345;1583;43930;19701
;;23;26125;20234;126805;77860;111874;35202;25566;12672;1525;44232;19289
;;24;25503;18193;124496;78555;110882;35388;25749;13082;1452;43900;19323
;;25;24940;17302;122900;79244;111232;35564;25478;12156;1430;44138;19583
;;26;25343;17179;125453;79764;111311;36243;25269;12116;1442;43791;20104
;;27;23878;18028;128030;78914;110147;33849;24345;11846;1422;43370;19037
;;28;23200;18915;126778;78251;108988;33560;24045;12066;1436;42961;18254
;;29;24604;19193;127558;78494;110101;35291;25267;12771;1429;40416;18654
;;30;24917;19023;126432;77352;111559;36259;26169;12498;1430;43193;19506
;;31;25058;18216;127629;80043;111567;37364;26134;12680;1440;43286;19994
