Год;Месяц;День;Алтайский край;Забайкальский край;Иркутская область;Кемеровская область;Красноярский край;Новосибирская область;Омская область;Республика Бурятия;Республика Тыва;Республика Хакасия;Томская область
;;4;34126;26629;175357;97678;138429;52891;34399;18685;3134;50339;25210
;;5;34767;25947;175058;97194;138267;54457;35326;18645;3214;50547;25096
;;6;34720;25131;174989;97215;137159;53990;35124;18134;3223;50228;24720
;;7;33171;25256;171768;93840;134831;51445;33743;18091;3165;49369;24079
;;8;33731;26071;170967;94881;135533;52168;34535;18209;3171;49282;24335
;;9;35184;26644;173741;95601;137958;54568;35505;18495;3225;50031;25344
;;10;34337;26286;175883;94037;136841;52917;35200;19020;3248;49479;25156
;;11;33751;26832;171827;92598;135260;51907;35031;18696;3264;48761;25041
;;12;34478;25919;170990;93500;134531;53028;36494;19279;3229;48609;25182
;;13;33286;26156;169697;95411;134297;53129;36190;18208;3245;48699;25179
;;14;33412;25271;173271;96842;134835;54647;35581;18494;3244;48903;25128
;;15;35586;26284;175917;97344;138666;56797;36534;19511;3262;49435;26430
;;16;35854;27073;174923;95076;138676;56097;35594;19259;3262;48246;26024
;;17;35410;26123;174374;95551;137847;54489;35645;19656;3221;49080;25506
;;18;35315;26343;175801;95525;141570;54426;36309;19306;3184;49320;25991
;;19;35531;26000;180549;96413;143250;55135;36096;19567;3164;49525;26986
;;20;34896;25923;181775;99221;144983;55189;35209;19855;3212;50086;26968
;;21;35183;25677;183017;99514;144267;55795;35772;19317;3188;50276;27031
;;22;37877;26047;186162;101358;148725;59868;38002;20041;3270;50722;28185
;;23;38575;26129;186563;102291;148771;60019;38249;19649;3329;51011;28031
;;24;38970;25408;187282;102507;149846;61058;37951;20353;3343;51273;28156
;;25;38938;26001;187961;102792;150597;60804;38162;19895;3355;51387;28336
;;26;39258;25938;188769;101774;150492;59903;37974;20659;3370;51498;28111
;;27;37961;26214;185719;100400;147796;58493;36612;20663;3341;51321;27377
;;28;37284;25987;179152;99424;143874;56823;35028;19779;3348;51088;26521
;;29;37806;26203;177305;99176;141576;57920;35974;19683;3372;50293;27153
;;30;36896;26136;175190;96276;141179;56691;35576;19184;3322;49907;26719
;;31;36728;25378;175590;96573;139966;57407;36381;19105;3309;49617;26701
;2;1;36251;25967;175604;97995;139610;56857;36446;18875;3308;49986;26928
;;2;36165;26040;176319;98090;139576;56394;36732;19218;3307;50142;27256
;;3;34446;26491;176541;97125;139528;54253;35727;19144;3299;50114;26442
;;4;33500;26178;177277;96293;138958;53003;34892;19250;3268;50066;26468
;;5;35954;26305;177690;96537;141297;54305;36286;19526;3281;50042;27340
;;6;36635;25957;175579;95754;140364;55272;36296;18909;3288;50196;26991
;;7;36201;24597;174149;95514;138065;55269;35519;19053;3283;49956;26469
;;8;35537;25059;174502;95478;137459;54421;36201;18896;3156;49447;26014
;;9;35598;24594;177855;95232;136918;53685;36203;18854;3132;49097;25911
;;10;34860;25055;175382;96973;136233;52730;34683;19103;3094;49250;25389
;;11;33786;24960;174132;96237;136585;52113;34403;18178;3111;49513;26283
;;12;35436;25084;173678;96420;138928;54353;35541;18592;3131;49753;27104
;;13;35967;25323;173694;95500;140268;54255;35636;18221;3075;49717;27089
;;14;35258;24325;175144;95347;139813;53974;35901;18272;3116;49937;26959
;;15;34642;25231;173760;95769;140018;53604;35314;17834;3140;49717;26784
;;16;35555;24020;176093;95662;137795;55193;35481;17761;2965;49342;26916
;;17;35058;24257;173938;97158;137457;54097;35599;18223;2934;49074;26099
;;18;34797;23905;174622;96376;136073;53115;34774;18239;2991;49477;25823
;;19;35834;24856;174869;97637;137004;54573;35222;18282;3079;49303;26536
;;20;34871;25172;172832;95237;136332;53358;35032;17734;3002;48947;26326
;;21;34929;24186;172449;95375;135306;52228;34848;17902;3002;48786;25932
;;22;34291;24845;171779;95885;136224;52072;34308;17797;2940;48890;26225
;;23;33188;24938;172573;93521;134245;50534;33167;17832;2941;48348;25576
;;24;32946;25511;170161;94762;133613;51110;34276;17927;2890;48129;25753
;;25;33172;24676;170314;95049;134482;52042;34112;17699;2844;48084;26066
;;26;34276;25038;172616;96911;136015;54566;35382;17941;2873;48769;26808
;;27;34724;25474;171260;97562;138598;54930;35379;17652;2848;48975;26079
;;28;34525;24690;172222;97361;138805;54232;35315;18209;2863;49432;25679
;3;1;33983;24971;170928;95691;138509;53578;35117;18167;2869;48916;25829
;;2;34734;24570;172547;95699;137440;54336;34807;19039;2795;48958;25901
;;3;33502;25109;171058;96219;136733;52286;34706;18632;2820;48953;24759
;;4;32586;24954;171461;95707;135765;51399;34109;18400;2863;48756;24754
;;5;33544;24790;173391;95513;136438;52724;35130;19309;2871;48966;25112
;;6;33605;25514;172236;93152;135549;51954;34137;18998;2886;48818;24582
;;7;32770;24221;171754;93162;132396;51739;34337;19036;2821;48828;24026
;;8;30496;24589;168568;92704;130838;49679;32835;17162;2665;48163;23773
;;9;30611;23999;167747;93669;132265;49805;33360;17167;2682;48416;23778
;;10;30959;24601;167546;93204;132744;49117;33580;17499;2652;48254;23814
;;11;30907;23427;165642;93785;132399;49453;33020;17322;2673;48004;23947
;;12;32583;23343;164949;93828;134888;51746;33932;17230;2583;48516;24686
;;13;32842;23673;165569;92415;134069;52277;34333;17076;2585;48922;24978
;;14;33256;23055;167814;92360;134636;52700;33821;17700;2641;48964;24840
;;15;32452;23992;165438;91989;133070;51813;33923;17318;2670;48559;24393
;;16;32598;23550;163305;91321;131657;50746;33235;16773;2678;48194;23924
;;17;31236;23184;159879;91204;130461;49080;32264;16002;2670;47791;23033
;;18;30544;22878;158194;89617;129774;47259;31630;16283;2664;42711;22480
;;19;31665;22407;157855;90795;129450;48599;33545;16415;2664;48008;22974
;;20;31733;23076;154075;91294;129278;50225;33749;15701;2618;47513;22775
;;21;31664;21807;151807;91900;128629;50382;33171;15447;2646;47591;22651
;;22;30674;22562;150187;90184;129309;49696;33224;15455;2534;47479;22424
;;23;31178;22133;149332;89884;127592;48548;32659;15475;2471;47322;22717
;;24;30212;22094;147458;90404;126126;47454;32211;14648;2409;46978;22469
;;25;29934;21660;149932;91119;127235;46933;31574;15400;2344;47510;23210
;;26;31041;21567;150391;91631;128981;48535;32427;15829;2263;47766;23591
;;27;30630;22849;150453;91111;128948;49033;32689;15335;2253;47569;23538
;;28;30369;21124;150093;90523;127865;48229;32217;15348;2256;47333;23277
;;29;30108;22078;148365;89406;127078;48318;32484;14732;2223;46792;22972
;;30;30928;21151;148538;91932;126398;48114;31873;15162;2233;46915;22720
;;31;29731;21700;150661;92324;127563;46501;31311;15020;2202;46965;22228
;4;1;29194;21955;153420;91045;127929;46480;30507;15472;2288;47419;22809
;;2;31030;22635;155844;91016;128770;49502;32123;16025;2348;47232;23537
;;3;31173;23361;153478;90115;129193;48461;31896;15561;2391;47336;23950
;;4;30842;21763;155524;90348;129002;48189;31595;16040;2458;47478;23625
;;5;31036;22875;155775;90436;129301;48158;31392;16209;2366;47443;23214
;;6;30438;22280;154700;89279;126082;47648;30910;15883;2310;47139;22769
;;7;29789;22506;149876;89466;125294;45769;30293;15040;2251;46937;22614
;;8;28226;21281;147288;87411;122680;43916;29095;15076;2211;46511;21792
;;9;29389;21407;148987;88487;124642;46911;30641;15664;2216;46571;22636
;;10;30058;22891;146879;87456;124657;47298;31003;15161;2168;46183;22962
;;11;30450;21108;148456;88858;124410;47847;30745;15644;2176;46785;22577
;;12;29600;21898;147546;89057;124036;46417;30576;14956;2152;46712;22673
;;13;28857;21477;146521;87145;122276;45304;31138;15548;2117;45931;22329
;;14;27485;21879;143362;88074;121543;44274;29816;14636;2048;45635;22009
;;15;27008;20505;145257;87946;122106;42448;29432;14268;2125;45291;22171
;;16;29069;21249;146077;87730;122285;44846;30351;14672;2081;45694;22721
;;17;28961;21027;143784;87351;123049;45012;29917;14487;1996;45774;22729
;;18;29180;19460;146434;89109;124917;45896;30535;13822;2010;45886;22768
;;19;29707;20345;148256;88415;124333;44706;30387;14794;2040;45804;22591
;;20;29219;20346;145938;88165;122614;44534;30528;14579;2086;45320;22322
;;21;27797;19951;145136;87873;121789;42470;29156;14418;2035;45225;21958
;;22;27026;20442;142525;86736;120498;41862;28559;14423;1970;45052;21398
;;23;28312;19887;140613;87466;121192;44297;29205;14335;1927;44640;22549
;;24;28260;20451;137621;86004;122055;44235;28907;13724;1839;44636;22105
;;25;28155;20049;136331;85991;121451;43240;29271;13491;1783;44230;21822
;;26;28328;19662;137003;86819;120258;43573;29151;13392;1784;44585;22079
;;27;27907;19722;141324;86558;121108;42596;29196;13644;1860;44468;21837
;;28;27953;20579;142890;85768;121322;42948;29169;14092;1859;44650;21267
;;29;26083;20492;141819;84726;119343;40575;27428;14433;1822;44323;20641
;;30;25226;20021;140519;84157;117309;39720;26954;13801;1802;43972;20375
;5;1;24960;20523;136916;82667;117135;39186;27246;13214;1708;44294;20402
;;2;26145;19207;136377;84623;119400;41404;27151;12901;1808;44696;20985
;;3;27448;19355;138763;84248;120350;41976;27870;13188;1892;45462;21472
;;4;28246;20222;140969;84607;121144;42053;28805;13295;1942;45106;21439
;;5;27344;20126;139704;86634;122132;43498;28272;13607;1943;45087;21497
;;6;27366;20210;139143;85866;121313;42259;27453;13534;1926;44947;21145
;;7;28997;20262;143407;86745;122829;44204;29419;14098;1987;45173;22085
;;8;28758;20767;143244;86278;122454;45145;29026;14317;1939;45395;21980
;;9;26761;19072;138543;84938;120294;41270;26929;13416;1801;45027;20559
;;10;27738;18985;140253;85341;120898;43042;28840;13656;1838;45628;21074
;;11;27272;19009;140944;85298;119911;41678;28692;13987;1798;44524;21432
;;12;26091;18562;140952;85187;118558;40587;27941;13891;1812;44822;20282
;;13;25517;19755;140147;85228;118827;40615;28085;14048;1765;44520;20321
;;14;27832;19812;140458;85835;119203;42703;28881;14171;1782;44207;20985
;;15;28116;20007;135007;85347;118701;43370;28928;13436;1765;44180;21204
;;16;28519;18511;135255;85817;119765;44496;29210;12676;1710;44267;21210
;;17;29597;18042;133690;85808;120482;44575;29103;12715;1622;44691;21478
;;18;29358;18539;134985;85485;121245;44290;29545;12793;1684;44429;21148
;;19;29556;17981;136812;86093;121790;44608;28099;13052;1564;44703;20439
;;20;27648;18282;141161;85330;121644;40920;27549;14065;1745;45055;19906
;;21;28592;19260;142139;85514;120467;41464;27477;14552;1905;44384;20183
;;22;28236;20513;139675;84143;120103;40706;26795;13864;1920;44480;20307
;;23;29513;19201;135497;84441;118553;42319;27784;13009;1748;44245;20391
;;24;29261;18664;135562;85213;118162;41973;27570;12500;1845;44539;20955
;;25;29659;19057;139613;85541;117761;42235;27341;12863;1913;43806;20991
;;26;26172;19003;137253;83899;117215;40129;27725;13837;1951;44185;20295
;;27;24466;19157;132430;81791;116332;40325;26999;13705;1702;43437;20342
;;28;27581;18938;131580;82480;115983;43248;27908;12782;1560;43358;21171
;;29;27409;19177;129021;82638;115967;41935;27772;12129;1485;43334;21092
;;30;26251;18060;128690;81124;114056;40129;27924;12032;1499;43469;20780
;;31;27201;17606;128804;81890;113496;39930;27935;11977;1558;43730;20649
;6;1;26269;17761;131648;81532;113560;37915;26762;11915;1563;43560;20863
;;2;24772;16946;130801;79595;111018;34188;25859;12418;1471;43358;19768
;;3;24597;18362;129478;80290;110238;34840;26210;13055;1445;43223;19784
;;4;25818;19570;131903;80951;111234;38731;27139;12718;1379;42971;20692
;;5;25876;19181;129424;80473;111984;38117;26438;12611;1456;43449;19859
;;6;25786;18129;128567;80502;111248;36249;26064;12203;1416;43333;19080
;;7;25845;18301;127966;80208;110102;35922;25851;12299;1434;42750;18727
;;8;25791;18676;128895;80060;109562;35910;25833;12087;1390;42685;18933
;;9;24966;18588;130541;79212;110288;36196;25227;12258;1402;43185;19386
;;10;23552;17812;129430;79272;108846;33669;24025;12216;1351;42955;19269
;;11;23397;18038;128899;79183;108862;33432;24172;12559;1322;43171;19500
;;12;23374;18156;128547;78894;108027;33401;23895;11569;1336;43156;19344
;;13;25109;17762;128767;80475;109893;36542;25389;11752;1384;43442;20004
;;14;24776;18233;129532;81030;109890;37176;25281;11580;1393;43373;20008
;;15;24547;18371;129312;81232;110302;35736;25097;11450;1379;43206;19825
;;16;23406;18167;128781;79751;108607;33345;24135;11620;1344;42407;19655
;;17;23137;18441;127621;79129;107691;33086;23949;11911;1341;42679;19389
;;18;25098;19422;128373;79195;109001;36590;25003;11918;1399;43176;19897
;;19;24749;19113;127346;79757;109335;36959;25078;11310;1400;43053;19768
;;20;25155;18482;127524;79462;108792;36319;25157;11174;1362;43091;19840
;;21;24601;18509;126437;79984;108958;36288;25272;11378;1395;43088;19847
;;22;24924;18271;128286;79755;109554;36031;25291;12113;1383;42825;20202
;;23;23126;18141;127711;79535;108130;34188;24035;11910;1370;43098;19553
;;24;22944;17754;126721;79359;108226;32612;23535;11228;1344;42983;19410
;;25;24847;18586;127424;80111;110016;35732;24930;12167;1403;43347;20076
;;26;24764;19868;126349;80669;108338;35571;25114;11900;1400;43595;20292
;;27;24806;19874;126875;80992;109735;36205;25145;12145;1423;43556;20426
;;28;25283;18958;126583;79758;110659;36098;25191;12799;1386;43409;20345
;;29;24835;19301;126472;78375;110941;35326;24835;12460;1416;43381;20145
;;30;23251;18363;126052;78501;109540;33632;24198;12158;1355;43133;19399
;7;1;22580;18650;124986;78206;109464;33521;23774;12345;1337;43192;19554
;;2;24777;18828;124233;79461;111686;35916;24752;12513;1361;43540;20091
;;3;25207;19349;121468;78611;110350;35539;23902;12192;1357;43331;19937
;;4;24402;18788;123275;78888;110129;34728;24093;12095;1360;43295;19906
;;5;24330;17893;123474;78939;110374;35113;24463;12317;1349;43193;19801
;;6;24624;18045;124993;79330;112315;34538;24796;12159;1369;42875;19774
;;7;23415;17349;127466;78790;110423;32785;24049;11720;1354;42831;19098
;;8;23009;18225;127679;79005;108738;32157;23808;11977;1344;42853;19082
;;9;24601;18869;130653;78575;110245;34991;25165;11802;1352;42968;19758
;;10;24892;18326;127595;79426;109367;35085;25301;11833;1363;42962;19353
;;11;25156;18378;127644;79424;109575;35696;25268;11881;1337;42829;19455
;;12;25310;18859;127923;80189;109857;35650;25520;12057;1351;43055;19778
;;13;24636;18784;127290;79702;109890;34702;25137;11821;1401;43045;19957
;;14;23580;17889;126811;79191;108665;32872;24327;11909;1345;42810;19418
;;15;23561;17480;126926;78966;108974;32615;23809;11823;1319;42636;19464
;;16;24966;18475;127952;79430;110496;35312;25385;12129;1328;42971;20537
;;17;24835;18751;126383;78835;110479;34952;25523;12419;1353;42946;20715
;;18;24483;19106;125318;79757;110448;35163;25729;11690;1367;42994;20830
;;19;24845;18850;125456;79234;110718;35115;25758;11655;1421;43277;20167
;;20;24804;18580;126967;78690;110614;35121;25316;11714;1390;43263;19650
;;21;23229;17615;126977;79025;108269;33360;24223;11898;1420;43085;18862
;;22;22828;18159;126250;79022;109324;33954;23905;11962;1343;42785;19021
;;23;24431;18752;126566;79707;110289;36237;25456;12633;1374;43237;19079
;;24;24215;18799;124538;78712;110370;35773;25697;12687;1362;43348;19028
;;25;24281;18297;124835;79039;109432;35507;25180;11989;1368;43422;18361
;;26;24446;17527;125617;80666;110084;34765;25171;12530;1421;43201;18535
;;27;23944;18483;127101;81115;109946;35275;24840;12131;1405;43294;18583
;;28;22848;18402;125930;80878;109407;33610;23856;10770;1404;43019;18233
;;29;22066;17576;126351;80460;108379;33056;23924;11766;1449;42905;18222
;;30;23819;18265;128121;81102;110288;35498;24584;11891;1466;43193;18844
;;31;24084;18960;125612;80083;109412;34638;24574;11853;1471;43451;18703
;8;1;24188;17920;126675;79662;109143;35126;24737;11577;1454;43329;18831
;;2;24190;18356;126884;81551;110118;35677;24513;12037;1412;43365;18547
;;3;24085;18726;128306;81080;109472;34860;24754;12187;1361;43276;18675
;;4;23173;17928;127205;80044;108987;33717;23701;12238;1369;43152;18201
;;5;22765;18936;128403;80127;108793;33040;23325;11929;1397;43279;18398
;;6;24245;18696;128478;81156;109795;35358;24704;12392;1399;43066;18570
;;7;24551;19457;128242;80295;109374;35091;24831;12171;1388;43328;18282
;;8;24809;18998;128291;79634;109119;35462;25032;12148;1376;43403;18203
;;9;24997;18490;127821;79902;109864;35503;25224;12251;1421;43389;18034
;;10;25005;18940;129256;79716;109788;35511;24836;12329;1384;43232;18393
;;11;23600;18188;128529;79436;108850;34009;23717;12416;1376;43174;18381
;;12;23169;18515;127897;79040;109079;33848;23654;12168;1364;43426;18412
;;13;24743;17697;129432;76756;109960;35895;24478;12494;1330;43306;19290
;;14;24871;18847;128384;76018;110146;35311;24791;12250;1473;43576;19108
;;15;24985;19243;130611;76098;109110;35574;25053;12443;1457;43760;18734
;;16;25111;18807;130657;76439;108342;35725;25073;12264;1452;44025;19398
;;17;25154;18767;129562;76658;107977;35694;24938;11786;1447;43362;19266
;;18;23557;18967;129472;76898;107534;33160;23751;12157;1415;43647;19020
;;19;23316;18968;129633;78086;106733;33570;23683;11938;1410;43742;18938
;;20;25680;19414;130803;78903;108443;36012;25501;12802;1411;43914;19440
;;21;25382;19451;129045;78188;107678;36089;25958;12354;1405;44033;20023
;;22;25464;19455;129104;79684;108613;36081;25425;12021;1408;43713;20128
;;23;25115;18807;130193;79118;108961;36271;25426;12686;1407;43798;20541
;;24;25044;18108;130595;77555;108909;35260;25246;11870;1386;43992;20380
;;25;23876;17372;130606;76711;107652;34164;24557;11923;1416;43854;19867
;;26;23552;17501;130182;76200;107685;33808;24255;11935;1377;43786;20007
;;27;25146;18789;130850;78050;108840;36335;25392;12537;1399;43981;20253
;;28;24919;18643;130159;78365;108970;36419;25725;11912;1413;44005;20504
;;29;25205;18112;130342;79011;108632;36063;25432;11622;1405;43955;20359
;;30;24825;17558;129847;77782;108685;36762;25300;11806;1431;44252;20313
;;31;24862;17527;130717;77643;108803;37876;26204;12021;1414;44140;20597
;9;1;24377;17568;128488;77947;108478;37242;25041;11775;1545;44152;19919
;;2;24524;18639;129235;78491;108288;36902;25135;12069;1498;43946;19912
;;3;25893;19418;132163;80698;110602;39620;26101;12189;1527;43975;20692
;;4;26340;18809;132090;79010;110739;38903;26161;12778;1665;44167;20323
;;5;26481;18289;134792;78957;109316;38966;26319;12786;1675;44576;19892
;;6;26219;18292;134219;79319;110204;38673;26544;12929;1611;44604;19887
;;7;26217;19695;133526;78924;110173;37438;26778;12873;1631;44204;19761
;;8;24905;19078;134251;77991;109668;35892;25686;12762;1627;44312;19962
;;9;24588;19262;134535;79511;109495;36224;25324;12654;1697;44182;20363
;;10;26412;19425;136848;80045;111938;39891;27161;13591;1689;44031;21240
;;11;27053;20473;137142;80544;113228;41373;27766;13206;1683;44261;21616
;;12;27905;20448;137194;82991;115130;42643;27282;12919;1855;44596;22144
;;13;28083;19831;141581;83937;117950;42315;26459;13514;1887;44702;22361
;;14;27581;20095;141798;83510;116993;40803;26383;12974;1860;44471;22365
;;15;25904;19756;140817;82152;114978;38508;25109;13287;1925;44842;21360
;;16;25687;19318;138397;81992;114510;37941;25066;12748;1844;44857;21620
;;17;27743;19600;138117;83302;117511;41795;26512;13445;1951;44967;22308
;;18;27350;20601;139688;81438;117893;42060;26519;13647;2024;45105;22367
;;19;27965;19556;142072;83482;117397;41432;26597;14645;2009;44629;22189
;;20;27983;20234;144339;83394;117291;40797;26398;14826;1990;45166;21653
;;21;28017;20310;139081;82811;116830;40171;26898;13656;1953;45211;21728
;;22;26397;20013;139358;84053;115750;38928;26111;13063;1924;45190;21385
;;23;26033;20571;138391;82419;115629;37835;25646;13473;1902;44732;21347
;;24;28365;20252;139318;83613;117634;40790;26895;13953;1901;44629;21933
;;25;28021;19183;138575;83372;118219;41517;26511;13652;2012;44814;21956
;;26;28103;17784;140464;83557;118123;40217;26244;13636;1989;45067;21781
;;27;27910;20709;141549;82339;118044;40006;26136;14153;1982;45113;21285
;;28;27393;21785;143760;82051;117131;39418;26082;14710;1879;44634;21120
;;29;26351;20802;140716;82613;116773;38395;25685;14103;1848;44339;21182
;;30;25680;20094;139316;81811;116234;37572;24991;13808;1819;44124;20996
;10;1;26989;20483;138750;82642;116872;40171;27025;14308;1840;44257;22033
;;2;28696;19529;136577;82783;118888;42757;27360;14044;1848;44706;22140
;;3;29126;19361;140326;83891;119611;43327;27447;13885;2016;44794;22340
;;4;28605;19471;145433;84852;119960;43303;27153;15124;2015;45413;22286
;;5;28078;20431;145971;84382;118770;42260;26887;15110;2020;45527;21824
;;6;27272;20262;147616;83682;117187;39506;25497;15016;2033;45919;21525
;;7;26359;20889;146323;82976;116764;38621;26141;14817;2043;46111;21112
;;8;28429;21879;146642;84298;119529;43119;27521;15451;2050;46164;22288
;;9;28414;20839;146487;83827;118667;42561;27704;15327;2001;46033;22466
;;10;28699;19937;146117;83648;119637;43460;28268;14678;2001;46536;22713
;;11;28773;20368;144161;83496;120773;43393;28840;14697;2003;45993;22764
;;12;28340;21753;144148;84458;120078;42465;28942;14384;1980;45691;22701
;;13;26352;21197;143572;84778;118811;40791;28281;14863;2010;45856;22196
;;14;26533;21698;143636;85314;118390;41692;28294;14566;2030;46031;22078
;;15;28676;21671;145528;84904;120814;44808;30571;15302;2025;46188;22972
;;16;29145;21865;145739;84390;122153;45853;30845;14935;2040;45765;23606
;;17;29458;21251;146199;84520;121549;46208;31731;14681;2084;46338;23303
;;18;30033;20632;147226;85380;120923;46550;31252;15218;2080;46127;23107
;;19;29982;21492;146060;85749;121576;45521;30876;14422;2088;46374;22780
;;20;28743;21578;146585;84665;121715;44654;30453;14534;2104;46088;22653
;;21;28324;21451;148183;86174;121089;44175;29446;15047;2137;46251;23209
;;22;29734;22452;149805;86583;122879;46731;31256;15334;2213;46457;23937
;;23;30705;22422;148287;88293;122628;48606;31643;15142;2250;46903;23740
;;24;31178;22148;148548;90292;124400;47521;30823;15189;2212;47094;22812
;;25;30423;22333;150144;88676;123471;46521;30655;15130;2225;46716;22471
;;26;29665;23214;149690;88216;121913;45611;30086;15298;2237;46137;23066
;;27;28354;22307;148860;86427;121127;44001;29555;15317;2207;45926;22519
;;28;27770;22850;148190;84774;120323;43090;29772;14391;2217;46122;22394
;;29;30543;22110;147770;86041;122302;47543;31476;14940;2347;46354;23308
;;30;31266;23199;148467;86190;123142;47205;31372;15318;2334;46450;23749
;;31;30879;22481;148923;88205;124055;48775;32287;15493;2311;46461;23672
;11;1;31688;23041;152325;89196;126579;48863;32655;15314;2340;46744;23877
;;2;31718;23038;156180;89663;126955;50315;32883;15712;2371;46906;25030
;;3;30575;22966;157345;87725;128193;47662;31215;15361;2402;46897;24342
;;4;29360;23361;157493;87419;126749;47385;30725;15964;2387;46671;24494
;;5;30175;23803;159317;87786;128363;48012;31550;16096;2467;46782;24855
;;6;32088;23973;158087;87628;129673;50499;32613;16069;2490;46987;24961
;;7;32321;22659;157583;87044;129642;51466;32787;16451;2447;46727;25354
;;8;32394;23766;156744;87175;129292;50945;33064;16320;2509;46422;25109
;;9;33165;23321;156903;89000;128795;52763;34045;16759;2501;46616;25314
;;10;32137;23643;155700;93970;131476;52659;33593;16486;2482;47273;25954
;;11;32632;22938;159799;94260;133097;52117;33066;16464;2485;47418;26073
;;12;35071;23287;165448;94019;136656;54771;34448;17507;2532;47806;26741
;;13;34588;23747;167661;92935;135131;53739;34513;17374;2626;47697;25943
;;14;34411;23023;169861;93065;133853;53840;33986;18176;2653;47909;25669
;;15;34092;24088;167839;92885;133611;54105;33937;17803;2682;47583;25903
;;16;33895;22850;166329;93628;133781;53022;33688;17247;2713;47732;25850
;;17;32424;23621;167864;93437;134951;52477;32796;17519;2744;47769;26342
;;18;31470;24198;170131;92345;135694;51006;32618;17518;2761;48112;26253
;;19;33854;24527;173295;94315;136606;53763;34571;17837;2755;48147;27022
;;20;33658;25414;171968;92143;135524;53046;33652;18111;2778;47839;26134
;;21;33316;24655;170021;92094;132753;52783;33663;18231;2752;47513;25334
;;22;33387;25199;164610;91489;132323;52096;33603;17875;2768;46886;25269
;;23;33283;25017;168502;91427;131589;51601;34165;18070;2778;47357;25374
;;24;31162;25301;164858;91129;130040;50363;33118;17324;2710;46799;25710
;;25;30724;24513;162766;91410;128864;50600;32737;17989;2514;46515;25262
;;26;33556;24710;166658;93852;134159;53177;34162;18080;2723;47555;26549
;;27;33374;25351;170548;93137;136520;53793;34354;17484;2740;47708;26508
;;28;33165;24765;172821;92985;134628;52760;34554;18550;2775;47877;25954
;;29;32969;25195;170357;91638;134181;53676;34918;18189;2756;47516;26535
;;30;33203;25002;169978;90871;132231;53868;35745;18364;2745;47345;26123
;12;1;33262;25025;166987;93787;134782;54129;35331;17437;2674;47332;26259
;;2;33360;25049;170726;94004;136034;54722;35786;17905;2743;47747;26746
;;3;35423;25900;176524;94673;139163;57081;35747;18170;2842;48384;27163
;;4;35989;26031;178879;96484;142653;58704;36260;18758;2876;48914;28092
;;5;36545;26326;183298;98609;143382;59169;36181;19270;2917;49264;28203
;;6;36156;26641;184124;99774;144613;59059;36023;19147;2985;49748;28205
;;7;36250;26710;185677;98976;143048;57864;36120;19451;3077;49938;27471
;;8;35047;27167;182394;98058;139944;54903;35068;19097;3073;49558;26600
;;9;33949;27148;182399;96920;139437;53786;34568;19371;3037;49420;26010
;;10;35848;27287;183762;96982;139145;56505;36188;19314;3063;49772;26846
;;11;35300;26713;179142;96203;137535;56439;37056;19287;3115;49700;27343
;;12;35240;26629;177839;96297;137606;55735;37166;18860;3129;49276;27193
;;13;34730;27038;176805;94480;137148;55415;36209;18617;3106;49105;26335
;;14;34472;27932;175879;94769;134948;54548;35512;19276;3119;48551;26626
;;15;33564;26760;172724;93566;134115;52316;35826;18822;3057;47851;25939
;;16;32798;26491;170616;92923;132925;52334;34992;18167;3020;48089;25845
;;17;33768;26715;171080;94440;133323;55671;36919;18828;3009;47983;26975
;;18;34389;26785;170310;93033;133466;56372;37469;17653;3012;48070;27225
;;19;35336;26153;170633;94756;134109;55796;36024;17883;3117;48136;26201
;;20;35017;26631;172342;96146;137768;57511;36504;18133;3100;48321;27426
;;21;36023;27091;175169;96521;141097;58676;36283;18791;3051;48838;27209
;;22;34231;27064;177003;95889;138304;56380;35577;18683;3047;48455;26321
;;23;34126;26509;175775;95602;140248;56675;35490;18688;3043;48652;26777
;;24;36090;26544;182461;98057;144684;60402;38050;19692;3029;49297;28358
;;25;36556;27258;184799;98270;144744;60340;38579;19703;3169;49823;28425
;;26;36705;26986;189551;98991;145555;60386;38501;20111;3214;50198;28408
;;27;36765;27322;189251;98581;145972;60560;38570;20101;3233;50534;28303
;;28;36347;26606;185625;98065;146102;60054;37634;19890;3272;50467;28172
;;29;34899;27087;185778;97680;145548;57458;35970;19694;3263;50519;27568
;;30;33310;27221;184974;96629;144797;54944;34335;19848;3269;50306;26920
;;31;32650;28154;183504;92608;142885;54005;34482;20107;3401;50113;26552
2019;1;1;29828;26366;176598;87727;138187;49670;32415;18911;3018;48803;25004
;;2;32488;26440;179635;92925;138581;51671;33730;19249;3130;49362;25405
;;3;33776;27335;181887;94844;139221;52746;33959;19289;3206;49738;26116
;;4;33476;27035;183546;96992;141598;53336;34001;19507;3243;50441;26319
;;5;33512;27436;181746;97197;142652;53197;33544;19680;3248;50199;26446
;;6;32949;27634;182106;94702;139504;51762;33602;19845;3217;49435;26179
;;7;31929;27080;181002;92846;136151;50409;33352;18874;3214;49325;25389
;;8;32345;27385;176947;93863;135280;51637;35142;19479;3238;48921;25752
;;9;34272;26389;176178;93140;136307;53845;35806;19521;3252;48782;26153
;;10;34302;27209;175205;94714;136633;55122;36372;18741;3252;48359;26804
;;11;35765;26952;176484;96270;140143;56830;36915;19457;3186;48578;28000
;;12;34115;26585;176264;97838;139584;53758;35078;18341;3175;48791;27171
;;13;33088;26457;176976;97967;139357;52864;34479;17659;3154;48842;27250
