Год;Месяц;День;Архангельская область;Астраханская область;Белгородская область;Брянская область;Владимирская область;Волгоградская область;Вологодская область;Воронежская область;Ивановская область;Кабардино-Балкарская Республика;Калининградская область;Калужская область;Карачаево-Черкесская Республика;Кировская область;Костромская область;Краснодарский край;Курганская область;Курская область;Ленинградская область;Липецкая область;Московская область;Мурманская область;Нижегородская область;Новгородская область;Оренбургская область;Орловская область;Пензенская область;Пермский край;Псковская область;Республика Башкортостан;Республика Дагестан;Республика Ингушетия;Республика Калмыкия;Республика Карелия;Республика Коми;Республика Крым;Республика Марий Эл;Республика Мордовия;Республика Северная Осетия-Алания;Республика Татарстан;Ростовская область;Рязанская область;Самарская область;Саратовская область;Свердловская область;Смоленская область;Ставропольский край;Тамбовская область;Тверская область;Тульская область;Тюменская область;Удмуртская Республика;Ульяновская область;Челябинская область;Чеченская Республика;Чувашская Республика;Ярославская область
2017;1;1;20125;13396;42106;11610;17750;41927;34933;29679;8562;5115;12292;17134;3396;18978;8531;76929;12342;24795;115609;35190;268463;35994;55108;12285;43015;6898;12530;64828;5681;75997;23084;2452;1932;22980;25069;23175;7165;7631;6681;75039;52053;16742;61361;35961;112143;17573;29150;9999;22538;25756;272292;25368;14900;93371;8447;13552;21785
;;2;21558;13519;41794;11918;18167;43750;37729;29586;8931;5103;12610;17471;3529;20028;9649;76666;12444;24775;121815;35808;275646;38335;57100;12748;44423;7134;12942;65971;5981;77276;23037;2459;1851;23682;26078;22911;7507;7776;6658;76170;52447;16823;62515;36475;114915;17982;28911;10102;23162;26048;273644;26351;15249;96127;8279;13753;22428
;;3;22754;13538;42792;12197;19174;44355;39278;30504;9497;5214;13229;18438;3614;20622;10246;76974;13032;24938;129662;35984;289617;40794;58329;13647;43745;7436;13471;68338;6568;78775;23091;2418;1803;24542;27216;23308;7694;8005;6725;77535;51819;17481;63397;37540;117625;18575;29656;10406;24678;26892;279847;26822;15878;95003;8379;14223;23947
;;4;23632;13631;43464;12802;20961;44849;40187;31310;10473;5242;13657;18823;3772;21766;11297;79365;13121;25301;138226;36209;305088;41610;61736;14332;44690;7696;13950;70843;6857;79209;23294;2470;1853;25485;28277;23596;8410;8241;6781;80302;52302;18195;65343;38514;124465;19006;30483;10641;25912;27706;279787;28104;16353;98671;8407;15033;25729
;;5;24534;13859;43153;12883;20808;45746;41295;31711;10880;5441;14331;19216;3765;22775;11268;77356;13552;25351;145110;36280;310268;42073;62265;14899;45039;7786;14067;72683;7149;80429;23451;2514;1865;25475;28970;23907;8615;8285;6848;82013;53269;18098;66289;39901;126006;19602;30654;10606;26614;27893;283589;29103;16581;100261;8433;15279;26365
;;6;25398;13990;43983;13288;21280;44375;41904;31696;11084;5340;14861;19948;3671;22852;11642;73587;13567;25693;148312;36837;330282;41927;63138;15363;45879;8013;13934;74315;7244;81262;23249;2480;1872;26291;29383;23180;8676;8333;6737;81668;53743;18733;65375;38889;129092;20235;30613;10705;27678;28894;285991;28562;16373;101871;8411;15056;27308
;;7;25310;13379;43864;13160;21289;42590;41287;31475;10954;5396;14770;19741;3472;22797;11490;70782;13301;25792;148219;37285;335234;39688;63316;15148;43682;7996;13643;73835;7515;79441;23237;2487;1864;26320;29077;22699;8520;8267;6553;81099;51198;18710;64242;38158;127943;20405;29461;10556;28234;28997;283475;27938;16126;98850;8546;15096;27408
;;8;24995;13487;44681;13634;21927;43531;41991;32955;11696;5256;14928;20825;3515;23376;11949;75459;13725;26101;145660;38180;348874;38653;65742;15114;44549;8285;13589;76084;7768;80145;23190;2490;1849;25817;29492;24278;8789;8625;6625;83113;52604;19552;65778;38326;128565;21032;29789;10873;29186;29575;284170;28831;16392;100865;8480;15449;27970
;;9;25252;14152;45908;15260;24930;47420;42494;35093;13357;5652;15941;23233;3736;25862;13087;80759;14917;27243;150993;39935;379053;38586;70040;15558;47646;9349;16069;81225;8172;85780;23902;2513;1887;25203;30074;26524;9409;9410;7083;90199;57052;21877;73862;42515;138842;22143;32208;12098;30979;31881;289389;32479;18994;105072;8687;17220;30386
;;10;24189;14360;46135;15553;24508;48348;40192;35215;13100;5656;15989;22729;3803;25787;12620;82181;15197;26910;148862;39949;371649;39341;70421;15151;47528;9800;16017;81232;8002;86902;23946;2535;1898;24368;29525;26799;9625;9862;7000;91178;57895;22069;74843;41901;139492;22532;32665;12332;29568;32293;291061;32862;18975;104935;8476;17197;29126
;;11;23316;14480;44591;15375;24081;48299;39983;35232;12658;5675;16111;21640;3865;24588;12034;81970;15245;27041;149257;39996;363209;38160;69501;14841;47402;9804;16434;78379;7940;85429;24160;2556;1901;23985;28590;26303;9112;9769;7121;88442;59252;21938;74633;41655;134161;22173;32764;12423;28797;32277;287574;31421;18906;103865;8562;17001;28064
;;12;23095;14524;45834;15171;24347;49720;40425;35258;12540;5614;15978;22088;3894;23849;11871;80257;15465;27065;151676;40672;363362;38674;68124;14610;47976;9677;16620;76394;7874;84464;24029;2561;1950;24048;27832;26290;9073;9930;6989;88756;60120;21567;74843;42537;134253;21483;33304;12386;28759;31713;286984;31446;19144;104973;8424;16993;28199
;;13;23685;14618;46186;14798;23247;47329;40249;34583;12307;5688;15670;22217;3935;23956;11790;81536;14766;27367;149822;38842;352542;38955;67010;14543;47676;9448;15794;76364;7562;85162;23794;2549;1922;24924;27544;25805;9188;9588;7012;89421;59160;20342;75016;42077;132319;21066;33152;11755;27760;31307;287785;31822;19111;104194;8528;17001;27653
;;14;22446;14106;45459;14083;21033;46388;39077;33175;11327;5507;14744;20414;3803;22394;11418;80721;14035;26883;139635;38332;326351;39265;63129;13902;47888;8918;14796;74955;6941;84871;23617;2514;1969;24396;27059;24179;8367;8896;7002;85443;56196;19100;70742;39807;128357;20276;31995;11335;26220;29510;283985;29410;17644;101028;8438;15598;25253
;;15;22148;13938;45095;13630;20530;46628;38667;33017;10644;5360;14553;19639;3739;21811;11117;78471;14290;26537;137246;37649;320622;38681;62221;13685;47250;8706;14521;74179;6713;84493;23573;2511;1907;24503;26771;24091;8264;8823;6950;83780;54348;18945;70085;39837;128137;19961;31700;11253;25527;29003;283613;28609;17337;102775;8429;14908;24835
;;16;23255;14871;45393;14600;22644;48547;39491;34455;11740;5564;15237;21688;3863;23719;11758;82217;15424;27238;145869;37786;336242;39718;65999;14127;48345;9288;15636;77178;7279;88303;23927;2523;1974;24876;27348;25603;9117;9650;7139;89149;57931;20084;76423;42079;134144;20372;33288;11885;26796;30262;284031;31539;19239;106886;8463;16503;26642
;;17;23268;15069;46454;15072;23051;48378;39873;34446;11806;5650;15363;20314;3911;23661;11739;82774;15711;27754;148028;37152;339678;39671;66255;14345;47909;9383;16300;75929;7577;87903;23631;2574;1965;24960;27083;25729;8842;9940;7204;90351;58503;20241;76348;41712;134037;20506;33175;12127;27214;30422;282012;31589;19832;107143;8456;16784;26927
;;18;23079;15019;46032;14679;23159;49175;39413;35164;11819;5772;15498;19893;4019;24160;11705;82894;15785;27533;147668;38489;342705;39170;67843;14585;48392;9347;16363;76917;7611;88398;23821;2535;1934;25042;27252;26276;8857;9868;7089;90543;58357;20732;77221;41991;135415;20427;33445;12218;27100;30565;284895;31985;19886;107803;8473;17081;27309
;;19;22691;15124;46398;15220;22997;49438;39842;35380;11790;5960;15682;20174;4143;23929;11311;85146;15360;27513;147017;39057;344808;38404;67018;14376;48569;9489;16083;76576;7573;88293;24280;2540;1966;24473;27454;26749;8699;9935;7241;89980;60223;20476;76415;42072;134690;20726;33951;12255;27035;30774;290104;31280;19477;108307;8594;17012;27010
;;20;22949;15392;46342;14714;22729;48993;39567;35881;11619;5892;15356;20723;4097;23252;11317;87591;15525;27385;145679;38390;339547;38912;66778;14244;48661;9362;15569;76085;7426;87653;24542;2589;2019;24700;27435;26651;8728;9869;7258;88883;59976;20158;74574;41890;136371;20289;34491;11898;26783;31030;285752;30765;19138;107040;8766;16574;26843
;;21;22250;14831;44442;14108;20970;47680;38725;34122;10817;5656;14466;20534;4076;21952;10893;85482;14370;26873;139465;37843;318801;38555;63191;13533;47260;8732;14210;73369;6696;83690;24065;2606;1955;25025;26932;25853;8119;9071;7040;84533;57155;19774;70036;38960;131153;19458;32618;11210;25487;29497;282283;28552;17622;103402;8588;15753;25049
;;22;22318;14347;44434;13387;20402;46694;38671;33336;10587;5475;14325;20143;3998;21846;10762;83430;13897;26647;138978;37011;318562;38269;62314;13537;46067;8606;14326;73026;6615;82681;24001;2551;1900;25184;27092;25219;7897;8823;6956;82764;55523;18671;68268;38219;129799;19555;32141;11005;25575;28749;282029;28585;17118;102328;8632;15036;24980
;;23;23526;15002;44797;14041;22774;48279;40525;35086;11750;5613;15044;21671;4105;23683;11803;83898;14843;27273;145544;37291;335068;39982;68734;14119;47668;9067;15220;75584;7311;85504;24362;2561;1949;25365;27878;26196;8725;9727;7087;88976;58670;20069;73781;39735;132645;20468;33177;11376;27177;29910;284279;30654;19251;107899;8566;16482;27007
;;24;23747;14503;45830;13768;22739;48078;39655;35368;11767;5567;14920;21585;4076;23819;11824;83461;14524;27050;147194;36350;336106;40591;67216;14189;46881;8803;14777;75434;7359;85251;23757;2527;1934;25329;28489;26254;8721;9963;7000;89219;58583;19588;73596;39578;133594;20432;33434;11155;27196;29780;284498;31059;18884;106723;8406;16503;26941
;;25;24726;14251;45785;14054;23488;47326;40976;35492;12065;5553;14723;20920;4110;24233;11705;82990;15157;26609;149030;37251;348234;39655;70031;14580;46835;8916;15121;78380;7535;85020;23835;2552;1942;25538;29114;26796;9071;10147;7214;91317;59603;20405;73584;39660;136592;20867;32942;11302;27708;30284;287066;31244;19456;106978;8303;17243;27853
;;26;23908;14401;46168;14388;24212;47545;41766;36788;12508;5724;14941;21495;4278;25048;12412;86267;15461;27195;149839;38209;362681;37786;71097;14724;46604;9209;15347;79786;7793;85368;23892;2573;1926;24793;28291;27595;9222;10511;7497;92750;60296;20990;75667;41823;141135;21471;33806;11745;29202;31345;290856;32338;20056;108682;8416;17622;28867
;;27;22635;14695;47179;14770;23493;49572;40424;37228;12094;5726;14842;20960;4310;25054;12122;87866;14573;27263;145235;39093;348557;37807;69971;14266;46571;9542;15984;79049;7342;84746;24561;2614;1959;24736;28039;28154;9394;10354;7587;92136;62450;20953;75109;42707;138520;20859;33895;12015;27859;31178;286771;32078;19997;108659;8633;17506;27881
;;28;22023;14703;46195;13851;21016;49491;39900;35449;11042;5603;14221;18816;4206;23967;11052;87380;14674;26385;138432;38756;318497;37792;66216;13281;47195;8860;15567;76851;6682;83675;24740;2639;1968;24541;27616;27242;8915;9917;7374;89111;60741;20118;72010;41571;133869;19709;32998;11608;25585;29401;286033;30015;18613;105456;8694;16495;25492
;;29;21678;14560;45993;13363;21122;47946;39199;35026;10873;5558;14066;18343;4218;23540;11017;87184;14539;26206;136675;38582;318652;37605;64734;13315;47181;8830;15125;77052;6606;84101;25068;2706;1997;24608;27452;27039;8836;9788;7380;87748;60813;20119;71432;40795;131203;19584;32689;11434;25344;29109;282120;30045;18507;105469;8973;15913;24974
;;30;22713;15431;47092;14663;23701;50867;39688;38056;12010;5957;14903;20633;4464;24623;11930;93744;15110;27361;145757;40001;348022;37747;69793;14168;48399;9592;16497;77920;7459;87564;25615;2723;2003;24695;27491;29029;9453;10414;7831;93752;64179;21754;77293;43741;134592;20589;35030;12380;27764;31252;284077;32618;20467;109302;8977;17560;27214
;;31;22726;15692;47640;14933;23928;50804;40009;38043;12079;6080;15211;21016;4543;24719;11710;95201;14944;27681;145730;38779;352855;38592;69187;14292;48043;9434;16423;77688;7419;87439;25872;2728;2006;24341;27078;29333;9080;10490;8106;93886;64281;21571;77537;43291;132861;20665;35350;12293;28353;32068;283213;32817;20425;107400;9152;17522;27218
;2;1;22888;15698;46165;14486;23022;50862;39820;37767;11889;6083;15120;20536;4506;23838;11922;94670;15207;27559;144600;38173;346112;38948;67663;14092;48655;9361;15981;77474;7279;87101;26345;2731;2031;23949;27490;28934;8781;10114;8063;92502;64395;20873;76950;43859;132729;19799;35445;11856;27511;32072;280024;32192;20138;106519;9321;17337;27048
;;2;22420;15934;45980;14053;23135;48873;39597;36172;12055;5942;15148;20103;4477;22832;11977;91956;15222;27019;145405;37505;345298;39064;67643;14203;46638;9113;15903;76702;7253;87040;25952;2668;2075;24420;27923;28431;8639;10086;8031;91984;63780;20879;75595;42299;133666;19135;35477;11517;27697;31831;283340;31766;20149;107266;9214;17299;27512
;;3;23260;15904;46474;14052;23603;50427;40912;36629;12206;5826;14994;21148;4320;22963;12162;87383;14745;27199;144937;38818;349038;38887;69632;14194;48271;9118;15756;77037;7237;87024;25825;2640;2021;24166;28789;27081;9037;10276;8033;92000;62163;20921;75375;43143;136013;19110;34513;11692;28063;32335;283630;31312;19930;108174;8916;17296;28109
;;4;22464;15556;45592;13619;21374;48720;39479;35470;11310;5551;14435;21428;4034;21888;11613;82707;14068;26542;137631;37984;331037;39058;64597;13611;47431;8659;14928;75444;6602;83963;25341;2564;1979;23895;27919;25103;8627;9859;7527;89061;59572;20131;71644;41271;131873;18613;32092;11305;26269;30446;281326;29648;18336;104646;8651;16309;25936
;;5;22657;14637;44871;13062;20648;47024;40087;34504;10905;5290;14289;20655;3815;21500;11258;78897;14034;26111;136787;37573;324794;38312;62993;13614;47369;8467;14294;74199;6579;85011;24345;2479;1905;24355;27651;23988;8607;9731;7098;86481;56751;19490;70253;41082;131157;18341;31157;10808;26250;29633;280165;29274;17861;102578;8403;15749;25593
;;6;24875;15005;47232;14758;23749;48238;41363;37025;12305;5448;15192;22168;4038;24067;12625;80829;15226;27144;149870;38762;357088;39224;69102;14530;47495;9452;15912;77934;7386;86695;23818;2484;1943;25388;28339;24727;9247;10474;6924;91855;60789;21133;75630;43368;136760;19991;32248;11812;28549;32812;286330;31950;20557;105963;8221;17092;28483
;;7;24273;15647;46907;14913;24461;49552;41931;37915;12719;5493;15715;22773;4016;23966;12965;81517;14926;27445;156396;38672;370203;38491;71207;14971;47384;9615;16190;78825;7859;86813;23801;2509;1953;25452;27544;24832;9212;10762;6926;93246;63251;21851;77721;43108;138042;20894;32676;12054;29375;33730;288092;32295;20993;108159;8151;17576;29179
;;8;23716;16199;47049;14879;24280;50185;41489;39024;12597;5959;16157;22371;4228;24038;12607;85035;15955;28129;154435;38648;371192;38151;70709;15173;48451;9585;15878;79024;7977;88118;24806;2657;1975;25000;28151;25257;9337;10863;7322;92940;63998;22055;77383;42954;139671;21156;34450;12048;29318;34042;287932;32096;20510;109387;8753;17615;29096
;;9;22596;16461;47236;15052;24139;50799;40756;38907;12300;6142;16169;23631;4411;23747;12506;88009;16114;28066;154506;39255;362777;37661;71144;14891;48250;9496;16018;79396;7869;88989;25352;2703;1993;25147;28731;26138;9063;10819;7474;92355;65093;22363;76922;42821;140932;21748;34767;12202;28878;33000;290954;31841;20375;110130;8968;16727;28158
;;10;22584;16352;44378;14662;23302;52315;40458;37917;11796;6054;15796;22836;4478;23179;11798;88749;15936;27687;151202;39999;350540;37739;69381;14555;49095;9276;16269;79730;7868;89720;25402;2714;2029;24789;28196;26853;8604;10251;7424;91330;64084;21046;75793;41823;141444;21476;34367;12006;27795;32249;292290;31676;19728;111298;9025;16907;27458
;;11;21968;15867;44743;13687;20734;49282;38900;35144;10834;5880;14930;20672;4322;22189;11149;86509;15471;26685;143863;37601;320652;38388;64984;13932;48093;8531;14566;78115;7113;86841;24972;2635;2032;24309;27502;26451;7889;9581;7483;87633;61175;18968;70419;38265;137265;20541;33943;10892;25666;30294;290600;30123;17738;108861;9189;15616;25293
;;12;21562;15297;45278;13159;20204;46862;39084;34429;10491;5705;14727;19972;4323;21505;10865;84582;15098;26391;141049;36959;317427;38454;62529;13681;47945;8478;13974;76141;7051;86351;24992;2603;1990;24246;26986;26333;7944;9340;7448;85058;58086;18748;69439;38441;136344;20749;33303;10727;25359;29356;288366;29099;16974;106636;9169;14764;24529
;;13;22807;15862;45746;14529;22706;47807;40258;35979;11729;6035;15900;22779;4504;23307;11898;86989;15312;27049;148001;38239;345992;37077;68466;14187;49384;9183;15566;77924;7453;89038;25290;2660;1998;24234;26708;27621;9280;10065;7865;89799;61549;20848;74848;41021;139079;21787;34418;11508;27591;31605;288917;31649;19296;108545;9161;16255;26808
;;14;22125;15738;46371;14469;22823;48351;38612;36523;11649;5870;15288;22153;4539;23778;12183;87909;15009;27141;143159;36766;339938;37288;68185;13552;49377;9190;15424;77026;7214;87900;25065;2585;2002;23595;26426;28275;10168;10255;7658;89682;61638;20630;75486;40773;135643;21246;34191;11584;27021;31344;284552;31698;19288;107467;8849;16801;26428
;;15;22916;15238;45923;14406;22940;47750;38815;35573;11734;5800;14905;21693;4562;23953;11878;86982;14591;27032;143739;36782;337117;37979;69109;13322;47600;9269;15277;76278;7098;86290;25013;2587;1954;23858;26514;27965;10259;10158;7682;88907;60543;20480;74613;39505;134084;21108;34444;11402;26562;30969;282014;31565;19130;108516;8839;16786;26279
;;16;22616;15428;45804;14729;23160;48965;39494;35905;11800;5885;14711;20709;4634;23618;11857;87256;15059;27051;145560;38011;338713;37459;67219;13690;47588;9385;15253;76355;7135;85936;25274;2587;1971;24416;25987;27316;10593;10242;7538;89869;60400;20337;74635;39826;134954;21203;34836;11350;27136;31485;282198;31497;19393;109825;8914;16690;26684
;;17;22828;15609;46707;14316;23464;49294;40327;36667;11842;5815;14657;20417;4656;23418;11952;88812;15084;26717;145086;38750;340514;37873;68174;13935;48448;9106;15624;77397;7154;86840;25218;2591;2003;24379;26733;26984;10521;10288;7526;89615;60905;20892;74924;39103;136047;20950;34809;11441;27309;31690;283571;31007;19266;110672;8963;16694;26815
;;18;21982;15228;45907;13646;20659;48313;38768;34651;10810;5612;13967;18604;4418;22255;11185;85044;14228;26248;137003;37419;311959;38272;63829;13349;47667;8563;14484;75539;6421;84637;24942;2539;2028;24301;26390;25099;9992;9637;7250;86708;57839;19387;71016;37757;131672;19705;33288;10843;25097;29801;279684;29383;17424;108510;8744;15625;24640
;;19;21888;14213;45168;13053;19882;45868;39307;33520;10319;5336;13666;18040;4187;21421;10813;80822;14022;25947;136180;36825;305114;38720;60720;13372;44782;8360;13529;74459;6356;82622;24295;2495;1911;24517;25673;24609;9786;9229;6948;82337;54822;18482;67262;35922;129360;19742;31815;10448;24742;28822;280125;28478;16528;105819;8479;14530;23953
;;20;23180;14308;44375;14247;22376;46842;40112;35041;11427;5425;14610;20171;4203;23423;11396;80239;14593;26597;143369;36743;327747;40115;66674;13749;46806;8994;14913;76182;7047;84940;23845;2466;1893;24331;27022;24986;10389;9746;6824;88106;56596;19603;72466;37683;132950;20763;32446;11105;26522;30631;279689;30894;18692;107957;8088;16135;25956
;;21;23312;14239;45576;14860;22946;47150;40208;34739;11501;5321;14583;20207;4165;23514;11193;80257;14532;26608;145655;36658;328253;39991;66052;13702;44443;9069;14750;74444;7024;83942;23300;2468;1830;25120;27264;25541;10126;9684;6741;87931;57391;19562;72175;37204;128727;20710;32089;11059;26612;30496;277920;30594;18347;106462;7873;16507;25900
;;22;23375;13583;44897;14419;22142;45756;40523;34635;11163;5211;14440;19873;4117;22981;11026;80180;14444;26471;145245;37200;325912;40233;65608;13945;45264;8699;14466;73730;7001;83240;22907;2469;1846;25376;27701;25534;9473;9632;6465;86483;57008;19358;70868;36670;127181;20403;31797;10866;26454;29732;274195;29951;17736;105441;7770;16217;26031
;;23;22646;13103;44172;13452;20784;44358;40828;32727;9928;4947;13557;18114;3973;21638;11027;77095;13012;25448;139072;36603;305498;38704;60033;13718;44534;8341;14247;70875;6460;79884;22177;2324;1796;25349;27012;23385;8776;9070;6240;80523;52896;18456;65375;34525;121016;19089;30256;10425;25593;28085;268258;27188;15722;100971;7612;14271;24574
;;24;22422;12906;44553;13259;20368;43747;40351;31997;10197;4919;13734;17910;3971;20924;10873;75611;13048;25491;136628;35923;301201;39331;59893;13299;44737;8380;14358;70976;6411;79485;21617;2289;1745;24962;26847;22107;8902;9141;6186;80983;51203;18411;65427;34644;122145;18997;29434;10364;25206;28360;269237;26659;15988;101193;7513;14250;23867
;;25;22228;12616;44298;13297;19708;43247;39923;31377;10227;4737;13696;17664;3827;21243;10617;73901;13501;25424;139761;35745;299969;39785;59656;13537;44565;8287;14027;70783;6584;80029;20665;2209;1714;25103;26312;22811;8425;9397;5855;81645;51986;18509;65804;35378;122826;19131;28397;10423;25109;28098;271894;27235;16066;102057;7211;14290;23685
;;26;21977;12676;43987;13185;19871;43396;39309;31181;10147;4842;13885;17285;3805;21211;10536;75136;13832;25406;137434;35545;302118;38948;57998;13445;44130;8338;13837;70375;6448;78820;20923;2278;1702;24828;25692;22492;7911;9250;6246;80001;51585;18523;65021;35742;122936;19189;28826;10205;25428;27754;273632;26674;15494;101037;7586;14033;23670
;;27;22925;13119;44751;14169;22471;45181;40446;33399;11247;5080;14230;20917;3985;22262;11078;78513;14368;26124;144508;36570;323213;38828;64589;14076;45026;8822;15499;73020;6915;82207;21697;2334;1727;24349;26665;23588;8734;9854;6584;86104;56272;19427;71470;38043;126186;19963;31342;11056;26712;29492;273181;30019;18307;104090;7576;15737;25853
;;28;22519;13094;44614;13599;21520;44290;39948;32622;11351;5059;14016;21705;3805;21538;11207;75813;14018;26027;143867;35611;318714;38754;62204;14061;44925;8590;15393;71847;6817;82025;21165;2229;1748;24712;26430;22989;8325;9541;6356;86187;54305;19014;71377;37970;125748;19218;31083;10783;26239;28751;270193;29899;18217;104578;7305;15784;25952
;3;1;21781;13156;43669;13377;21199;42365;39015;31253;11269;5019;14059;20506;3693;21714;11027;74219;14187;25998;140146;35303;316475;37727;62144;13782;44190;8464;15326;72062;6934;79741;21346;2251;1758;23631;26002;22114;8265;9838;6259;86484;52475;18891;71173;37687;125644;18465;30414;10679;26030;28689;272024;29641;18454;99773;7535;15264;25394
;;2;21590;13184;43806;13735;21306;43896;38684;32553;11072;5137;14194;21210;3700;21913;11211;72413;14672;25879;139814;35926;316760;36518;59606;13260;46279;8523;14861;71006;6678;80722;21280;2315;1634;23502;25688;21407;7858;9618;6314;86017;52942;19090;72001;37071;128410;18049;30916;10675;25814;29234;271742;30006;17936;102088;7695;15590;24934
;;3;21411;13265;43439;13573;21115;42895;39713;32676;10931;4899;14216;21352;3620;22166;10939;72172;14310;26046;139855;35863;314468;37741;59500;13515;45012;8419;14570;72693;6704;79940;20630;2153;1762;23578;24259;21973;7811;9566;6080;85705;53387;19112;71213;37754;127001;17732;29826;10670;25830;29262;268586;29965;17994;103204;7498;15701;24939
;;4;20942;12870;43744;12525;19068;42532;38801;31263;10068;4891;13519;18756;3721;20770;10425;73069;13547;25296;134724;35181;292648;37457;56868;13065;44209;8075;13766;71109;6128;78664;20483;2189;1777;23860;25064;20810;7382;9092;5989;82180;51525;18075;66321;36077;122201;16954;29006;9943;24200;27945;265173;27482;16210;101326;7441;14153;22589
;;5;20995;12395;43563;12340;18937;41776;38993;30955;9966;4707;13351;18850;3594;20377;10729;71056;13421;25202;133210;35004;290270;37366;55339;13028;44185;8014;13276;69520;6074;77403;20477;2198;1723;23854;24984;20308;7129;9066;5964;78836;49410;17971;64557;35126;120225;17624;27886;9678;24128;27433;264739;26932;15610;100593;7524;13742;22411
;;6;21896;13213;44368;13177;21962;42631;39799;32169;11086;5046;14205;20740;3621;21867;11406;71810;14253;25766;143228;34847;317954;37729;61146;13759;44203;8403;14000;72225;6856;80417;20936;2245;1764;23489;25694;21123;7799;9518;6078;85667;52016;19507;69734;37012;123096;18551;29825;10149;26568;28597;266150;29486;17417;102662;7585;15313;24967
;;7;22367;12644;43944;12966;21022;42150;39537;32049;10906;5127;14265;20515;3627;21975;10968;70934;13967;25393;145073;33845;313210;36902;59043;13880;45640;8212;14168;71484;6892;79497;20966;2224;1727;23767;25702;20520;7769;9325;6148;85078;52416;19281;70102;36793;121316;18749;29795;10151;26266;28626;270436;28392;17014;102931;7867;14996;24789
;;8;21106;11798;43137;11972;18642;40659;38793;30291;9132;4856;13429;19058;3498;20150;10034;67867;12914;24603;131962;33917;286198;37032;54063;12874;44309;7793;13212;69113;5968;76777;19789;2234;1658;23942;25028;18989;7154;8772;6077;79399;48898;18138;65706;35285;116168;17721;28227;9480;23564;27070;266995;26414;15070;100181;7921;13697;22263
;;9;21559;12360;43379;12941;20530;42564;39261;31780;10559;5071;14140;19272;3652;21955;10524;69613;13650;25526;138876;34620;302453;37253;57959;13423;45208;8316;14138;71110;6656;80434;20173;2211;1698;23530;25926;20227;7735;9443;6101;85298;51436;19051;71166;37583;121708;18224;29806;10129;25070;28349;266429;29437;17757;102943;7653;15451;24019
;;10;21435;12551;43734;12854;20806;43133;39069;32135;10689;5033;14298;20072;3661;21639;10515;69670;13933;25108;140144;35141;301709;37187;57469;13456;45479;8311;14360;71638;6628;80998;20050;2201;1705;23733;25761;20426;7753;9029;5929;85960;51952;19365;71995;38926;122935;18393;30436;10055;24849;28485;268318;29405;17923;102396;7445;15793;23735
;;11;20620;12332;43091;12253;19095;42101;38709;30954;10031;4895;13788;18970;3626;20747;10240;68525;13023;24896;132943;35176;284578;37259;53959;12864;45624;7907;13399;70361;6024;79419;20191;2251;1680;23431;25005;19911;7031;8926;5973;82109;49960;18513;67096;36699;118852;17956;30051;9771;23353;27482;266218;27557;15832;100942;7538;14648;22404
;;12;20343;12457;42999;11794;18563;41803;38094;30974;9612;4775;13558;18127;3637;20150;9713;67977;12974;24834;129700;35179;280154;37221;52343;12600;44335;7808;13358;69654;5863;77783;20460;2231;1699;23087;25186;19670;6619;8950;5925;80019;49161;17744;65447;35648;117924;17519;29041;9602;23022;26955;265872;26881;15363;99941;7725;13732;21478
;;13;21440;13150;42061;12836;20656;42908;38975;32639;10637;5263;14114;20209;3805;21698;11264;69237;13729;25843;138033;36061;303533;37570;57755;13212;45408;8554;14136;71063;6408;80710;19867;2246;1746;23263;25376;20946;7293;9626;6305;85707;51754;18970;70183;36585;118270;18204;30198;10301;24708;28194;268349;28976;17402;103083;7670;15085;23330
;;14;21495;13050;42214;12490;20566;42834;37978;32079;10576;5292;13833;20155;3854;21438;10851;72526;13411;25639;135823;34819;301731;36934;56282;13103;45089;8249;13758;70000;6438;80452;19534;2214;1722;23295;25039;22358;7421;9446;6063;85203;52306;19194;71123;36825;119748;17947;30552;10035;24677;28644;266008;29035;17306;102686;7579;14505;23556
;;15;21045;12592;42770;12302;20601;42316;38714;32244;10573;5345;13822;20459;3973;21659;10707;74589;13389;25396;136264;34669;301570;36184;58494;13232;45076;7947;13495;71099;6475;79580;19450;2240;1711;23569;25860;21873;7503;9508;6168;84859;51539;18879;70957;36675;121650;18165;30626;9760;24709;28610;266570;28827;17426;102345;7495;14843;23421
;;16;20699;12593;42039;12771;21290;41749;38468;32437;10779;5286;13692;19501;3956;21733;10874;75028;13754;25615;132470;35876;306029;35692;58232;13154;44966;8119;13618;69753;6305;79442;19551;2252;1585;23532;25765;21967;7209;9520;6219;85055;52292;19068;70550;36795;121397;18489;30322;9824;24845;29027;267538;28774;17314;102356;7419;15379;23526
;;17;20771;12316;43026;12520;20803;42223;38826;32226;10721;5150;13774;20427;3894;21514;10468;75369;13792;25801;136275;35986;302952;36376;56214;13137;44643;8096;13887;70679;6395;79132;19031;2150;1584;23872;25587;22294;7377;9650;6108;85302;51851;19023;70902;37003;122630;17965;29870;10013;24580;29069;266870;28529;17855;103173;7297;15445;23270
;;18;20046;12160;43474;12171;19192;40546;38322;30576;10020;4834;13401;19287;3862;20465;10122;74575;12845;25246;129065;35533;284296;36078;52616;12731;44555;7951;13411;70090;5893;77630;19131;2134;1649;23784;25010;21171;6949;9168;5871;82598;51318;18481;66380;36096;119966;17782;28735;9946;23437;27606;266658;26532;16032;102072;7238;14775;22076
