Год;Месяц;День;Архангельская область;Астраханская область;Белгородская область;Брянская область;Владимирская область;Волгоградская область;Вологодская область;Воронежская область;Ивановская область;Кабардино-Балкарская Республика;Калининградская область;Калужская область;Карачаево-Черкесская Республика;Кировская область;Костромская область;Краснодарский край;Курганская область;Курская область;Ленинградская область;Липецкая область;Московская область;Мурманская область;Нижегородская область;Новгородская область;Оренбургская область;Орловская область;Пензенская область;Пермский край;Псковская область;Республика Башкортостан;Республика Дагестан;Республика Ингушетия;Республика Калмыкия;Республика Карелия;Республика Коми;Республика Крым;Республика Марий Эл;Республика Мордовия;Республика Северная Осетия-Алания;Республика Татарстан;Ростовская область;Рязанская область;Самарская область;Саратовская область;Свердловская область;Смоленская область;Ставропольский край;Тамбовская область;Тверская область;Тульская область;Тюменская область;Удмуртская Республика;Ульяновская область;Челябинская область;Чеченская Республика;Чувашская Республика;Ярославская область
;;30;18734;10707;42104;11771;18220;39354;37082;28257;9238;4510;10820;18438;3318;19140;9604;66053;11889;23595;117007;34899;278795;32488;56326;11570;40558;7519;13720;65125;5748;73023;15191;1971;1611;21459;24127;16445;8045;8908;4751;71905;46266;16857;59458;35700;117732;17539;24993;9780;22955;26741;260010;26358;14686;93375;7170;13442;21297
;10;1;18580;10458;42536;11514;18106;38563;36662;27934;9136;4452;10608;17682;3252;18843;9371;66510;12142;23546;114681;35199;278363;32011;54758;11527;39849;7313;13431;64342;5848;72259;15895;1965;1513;21973;24058;16662;7915;8660;5570;69361;46177;16773;57108;34362;116377;17397;24793;9758;22809;26252;257528;26246;14246;90817;7396;13083;21098
;;2;19509;11095;42694;13104;20271;41174;38129;30483;10635;5004;11554;20426;3507;20529;10274;69239;12554;25082;124144;36204;307882;32700;61375;12501;40807;8330;14784;67682;6626;77196;16927;2105;1581;21622;24064;18558;8468;9492;6264;75057;51493;18226;63530;36475;122213;18781;27578;10679;24919;28853;261573;27740;17066;97325;7522;14862;23408
;;3;19776;11343;41946;13391;20648;40363;37940;30663;10778;5224;11757;20529;3628;20529;10224;71483;12734;25247;126415;35449;310853;33286;60948;12557;41168;8385;14779;66662;6990;78181;17634;2125;1488;21291;24339;18812;8285;9557;6397;75361;51541;18190;65349;35494;121864;19022;28386;10895;25333;28856;261531;27409;17238;98554;7606;15091;23936
;;4;20106;11206;42179;13354;20415;40734;38684;31066;10569;5163;11953;18899;3652;20558;10077;70729;12703;25214;127586;36769;306983;33685;61870;12555;40871;8374;14720;65962;6866;77454;18160;2083;1324;21066;24131;18784;8049;9395;6439;75957;51341;18375;65347;35219;120919;19446;28084;10826;25955;28822;256708;27412;17403;98543;7507;15002;23778
;;5;19587;11146;42478;13442;20868;40852;38983;30923;10803;5120;12059;19816;3553;20186;10255;69503;12442;24985;125253;37378;303181;33238;62098;12393;40707;8327;14734;66951;6529;77420;17779;2074;1256;20885;24338;18896;7964;9422;6279;75826;51736;18749;64064;34410;121572;19241;27021;10911;25638;28747;254111;28016;16979;99429;7531;14871;23980
;;6;19979;10980;42612;13572;20628;40774;37991;30092;10585;4982;11804;19507;3532;20015;10081;69233;12144;24746;125433;36437;301533;33116;62349;12329;40483;8286;15105;67847;6345;76664;17118;2034;1263;21199;23065;18455;8035;9664;6088;76439;49972;18388;64664;34644;119099;19285;26919;10751;25066;28808;254246;27956;17399;97865;7461;14968;23573
;;7;18970;10702;41297;12176;18677;39154;37476;28121;9537;4614;11752;18603;3379;18340;9682;67131;12259;24038;119297;34763;280308;33130;57718;11554;39813;7431;13784;65743;5892;75166;16423;1937;1605;20878;24076;16942;7525;8746;5835;73290;45628;17689;61614;33355;115926;18369;25776;9868;23335;27193;254161;25752;15113;94547;7117;13796;21567
;;8;18942;10394;42881;12019;17789;37750;37138;27257;8974;4454;11473;17182;3177;17788;9385;65401;12560;24099;117356;34914;271129;33010;55028;11318;39424;7293;13816;64150;5723;73358;15929;1905;1620;20666;24217;16549;7299;8527;5598;69651;45377;16770;58783;31852;115448;18286;25225;9682;22683;26322;254923;24883;14564;94537;7146;12600;20777
;;9;19990;10829;43725;13377;20218;39472;37935;28861;10253;4687;12505;18380;3370;19644;10335;68334;12572;24918;126350;35653;292313;33226;59064;12392;40339;8096;14800;67075;6404;75244;16073;1914;1592;21185;24407;18207;7952;9229;5624;76033;47945;18100;63227;33662;118125;19263;27212;10176;24576;27644;254215;27199;16391;95246;6962;14030;23141
;;10;19292;10836;44185;13477;20622;40689;37167;29041;10445;4936;12668;18439;3667;20251;10074;70060;12432;24193;126476;35269;290490;33989;59305;12257;41090;7982;14545;66419;6210;75373;16436;2041;1688;21415;24092;17956;7943;9433;5980;75906;48528;18340;63404;33862;116916;19221;28260;10314;24580;27957;252789;26886;16688;96504;6992;14190;23007
;;11;19920;11214;43228;13299;20644;40936;35763;29300;10382;4924;12379;17541;3590;20712;9993;70558;12314;24044;128524;35732;297471;34159;60283;12374;40877;7953;14575;67014;6348;73606;17437;2085;1685;22007;24494;18383;7772;9347;6119;77322;50201;18491;64140;34255;115053;19449;28068;10292;24396;28598;251974;26950;16918;95260;7272;14451;23303
